"","Trcid","Title","Shortdescription","Longdescription","Calendarsummary","TitleEN","ShortdescriptionEN","LongdescriptionEN","CalendarsummaryEN","Types","Ids","Locatienaam","City","Adres","Zipcode","Latitude","Longitude","Urls","Media","Thumbnail","Datepattern_startdate","Datepattern_enddate","Singledates","Type1","Lastupdated","X"
"1","5c3322f4-c21c-44f5-8fe7-a4a4a1813b93","Sieraad Art Fair","De Sieraad Art Fair vindt plaats van 10 tot en met 13 november 2016 in de Westergasfabriek in Amsterdam. Het is de vijftiende editie van Sieraad Art Fair (SAF) en de meest internationale editie tot nu toe met meer dan 165 kunstenaars uit 28 landen.","SAF is het enige platform in Nederland waar professionele hedendaagse sieraadvormgevers uit binnen- en buitenland hun werk direct en zelf aan de man brengen. Ook deze editie vinden er speciale events en spraakmakende presentaties plaats.<br /> <br /> <h2>Unieke sieraden</h2> SAF richt zich op het unieke en ambachtelijk gemaakte sieraad. De nadruk ligt op kunstsieraden waarin idee&euml:n op verrassende wijze zijn verpakt in materialen als rubber, textiel, foto&rsquo:s, plastic, hout of keramiek, maar ook zilver en goud. Daarnaast is er ook klassieke edelsmeedkunst te zien.&nbsp:","Do 10 november 2016 t/m zo 13 november 2016 do-zo: geopend.","Sieraad Art Fair","The Sieraad Art Fair (SAF) takes place each November at the Westergasfabriek in Amsterdam, showcasing more than 150 jewellery designers from some 28 countries.","<h2>Art, crafts and jewellery in Amsterdam</h2> SAF is the only platform in the Netherlands where professional contemporary jewellery designers from the Netherlands and abroad can sell their work directly to the public. In addition to shopping for and admiring the designs, you can join a number of presentations and special events. <br /> <br /> For more information visit the Sieraad Art Fair website.","Th 10 November 2016 including Su 13 November 2016 Th -Su: Open.","","2.3.1","Westergasfabriek ","AMSTERDAM","Polonceaukade 27","1014 DA","52,3859370","4,8714400","http://www.sieraadartfair.com/","https://media.iamsterdam.com/ndtrc/Images/5c/5c3322f4-c21c-44f5-8fe7-a4a4a1813b93/627e4851-6c53-45c9-84ad-63cdf384f18b.jpg,https://media.iamsterdam.com/ndtrc/Images/5c/5c3322f4-c21c-44f5-8fe7-a4a4a1813b93/e57743ac-62a7-430d-9350-e1c022ff870a.jpg,https://media.iamsterdam.com/ndtrc/Images/5c/5c3322f4-c21c-44f5-8fe7-a4a4a1813b93/828bb869-6d64-4e6e-a88b-a7680aba4855.jpg,https://media.iamsterdam.com/ndtrc/Images/5c/5c3322f4-c21c-44f5-8fe7-a4a4a1813b93/6242b6c1-84ef-4007-99c2-7d5a4b355f7a.jpg,https://media.iamsterdam.com/ndtrc/Images/20120919/e26194bf-fc9d-4416-8c50-17ef2358752b.jpg","https://media.iamsterdam.com/ndtrc/Images/5c/5c3322f4-c21c-44f5-8fe7-a4a4a1813b93/627e4851-6c53-45c9-84ad-63cdf384f18b.jpg","10-11-2016","13-11-2016","",NA,"2016-02-10 16:19:41",NA
"2","38bcaee8-30b7-467b-b44b-dcb4e8d07603","Huishoudbeurs","De RAI Amsterdam staat van 18 tot en met 26 februari 2017 in het teken van de Huishoudbeurs. Met honderden exposanten, die niet kunnen wachten om je hun nieuwste producten te laten zien, is het een groot huishoud- en shopfestijn!","<h2>Mode, beauty en meer</h2> <br /> Hoewel de naam nog anders doet vermoeden, is de Huishoudbeurs tegenwoordig echt niet meer alleen interessant voor huisvrouwen. Natuurlijk kun je er een nieuwe stofzuiger kopen en handige keukenhulpjes uitproberen, maar je bent er ook aan het goede adres voor mode, make-up, eten en drinken. Niemand hoeft zich te vervelen tijdens dit grote evenement. <br /> <br /> Ga naar de website van de Huishoudbeurs voor meer informatie en tickets (&euro:16,50 online tijdens het evenement, &euro:19,50 aan de deur). Een ticket voor de Huishoudbeurs geeft ook toegang tot de Negenmaandenbeurs (24 - 28 <span style=&quot:font-size: 12.8px:&quot: rel=&quot:font-size: 12.8000001907349px:&quot:>februari</span> 2016).<br /> <br /> [Foto: NFP Photography]","Za 18 februari 2017 t/m zo 26 februari 2017 ma-wo: 11:00 - 18:00 uur, do, vr: 11:00 - 22:00 uur, za, zo: 11:00 - 18:00 uur.","Homemakers' Fair","Amsterdam RAI hosts the Homemakers' Fair every February. With hundreds of exhibitors lining up to show off the latest products on the market, this annual event is a household and shopping feast! ","<h2>Huishoudbeurs Amsterdam</h2> Having sprung into life in 1950 as an opportunity to sell various homewares to Dutch house wives, the modern-day version of the <strong>Homemakers&rsquo: Fair</strong> has thankfully diversified beyond vacuum cleaners and kitchen aids. These days, fashion, beauty, food and drink and entertainment all play leading roles at this huge event. <br /> <br /> <strong></strong> <h2>Tickets &amp: info<strong></strong></h2> <strong></strong> For more tickets and invite visit the <a target=&quot:_blank&quot:>Homemakers' Fair website</a> (&euro:16,50 online and &euro:19.50 at the door). A ticket to the Homemakers&rsquo: Fair also grants access to the Nine Months Fair).","Sa 18 February 2017 including Su 26 February 2017 Mo -We : 11:00 - 18:00 hour, Th , Fr : 11:00 - 22:00 hour, Sa , Su: 11:00 - 18:00 hour.","","2.3.1","RAI Amsterdam","AMSTERDAM","Europaboulevard 22","1078 RV","52,3390470","4,8911530","http://www.huishoudbeurs.nl/","https://media.iamsterdam.com/ndtrc/Images/20130110/0820b9f2-1e29-4383-97e5-9985e60e807d.jpg","https://media.iamsterdam.com/ndtrc/Images/20130110/0820b9f2-1e29-4383-97e5-9985e60e807d.jpg","18-02-2017","26-02-2017","",NA,"2016-04-05 12:19:10",NA
"3","4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81","HISWA Amsterdam Boat Show","Voor booteigenaren en watersporters is de HISWA een goede voorbereiding op het nieuwe seizoen. Maar ook wanneer je niet een echte waterrat bent, is deze beurs een bezoek waard. HISWA vindt in maart 2017 plaats in de RAI Amsterdam.","<h2>Waterpret voor jong en oud</h2> Met honderden kleinere en middelgrote boten, clinics en workshops, aanbiedingen en accessoires is er voor jong en oud genoeg te zien en beleven. In de verschillende paviljoens kun je je vergapen aan de boten en nieuwe producten op watersportgebied of meedoen aan een van de vele activiteiten en workshops. <br /> <br /> Meer informatie over het programma en kaartverkoop vind je op de HISWA website.","Do 16 maart 2017 11:00 - 18:00 uur, vr 17 maart 2017 11:00 - 22:00 uur, za 18 maart 2017 11:00 - 22:00 uur, zo 19 maart 2017 10:00 - 18:00 uur, ma 20 maart 2017 10:00 - 18:00 uur, Toelichting: Data onder voorbehoud.","HISWA Amsterdam Boat Show","For boat owners and water sports enthusiasts, the HISWA Amsterdam Boat Show is a great introduction to the new season. Even if you don?t consider yourself a sailor, this impressive expo is still worth a visit when it returns to RAI Amsterdam in March.","<h2>HISWA brings aquatic fun to Amsterdam</h2> With hundreds of small and mid-sized boats, clinics and workshops, special offers and boating accessories, there&rsquo:s plenty to keep the whole family entertained at the <strong>HISWA Amsterdam Boat Show</strong> at <strong>RAI Amsterdam</strong>. At the many pavilions in the enormous conference centre, visitors can admire new boats and related products or get hands-on with one of the many aquatic activities.<br /> <br /> Check the <a href=&quot:http://www.hiswarai.nl/&quot: target=&quot:_blank&quot:>HISWA festival website</a> for more information and tickets.","Th 16 March 2017 11:00 - 18:00 hour, Fr 17 March 2017 11:00 - 22:00 hour, Sa 18 March 2017 11:00 - 22:00 hour, Su 19 March 2017 10:00 - 18:00 hour, Mo 20 March 2017 10:00 - 18:00 hour, Explanation: Date to be confirmed.","","2.3.1","RAI Amsterdam","AMSTERDAM","Europaboulevard 22","1078 RV","52,3390470","4,8911530","http://www.hiswarai.nl/","https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/44f409dd-9631-4d25-ba00-7223d9d4ed55.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/6222927d-57a7-4de7-9f67-cc9137515ca8.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/9a4b30cf-f6d3-45d6-95c6-4f6756395f25.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/f233ca70-8820-42dd-9b49-f6eaefad77d1.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/091a9716-1175-4588-97ff-9119dd038fec.jpg,https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/35ac54c9-169d-4c5d-ab4e-bdfa8253c339.jpg","https://media.iamsterdam.com/ndtrc/Images/4a/4a3b13fc-9cc4-4abe-9ca0-5fa6f09e7d81/44f409dd-9631-4d25-ba00-7223d9d4ed55.jpg","","","16-03-2017,17-03-2017,18-03-2017,19-03-2017,20-03-2017",NA,"2016-04-05 12:19:12",NA
"4","8eb2691e-d70c-4752-b431-eefdcfa740bb","Unfair Amsterdam","Deze bruisende kunstbeurs keert terug naar Amsterdam in het voorjaar van 2017 in de Zuiveringshal op het Westergasterrein. Unfair Amsterdam biedt een podium aan een aantal van de meeste innovatieve kunstenaars in Nederland en richt zich op jong en net afgestudeerd talent. ","<h2>Nieuwe generatie kunstenaars in Amsterdam</h2> De kunstbeurs is de perfecte plek om inspiratie op te doen, designers te ontmoeten en met een uniek kunstwerk naar huis te gaan. De kunstenaars kunnen de volledige opbrengst van verkocht werk in hun eigen zak steken.<br /> <br /> Ga naar de Unfair Amsterdam website voor de volledige line-up en meer informatie.","Wo 29 maart 2017 t/m zo 2 april 2017 wo-zo: geopend, Toelichting: De genoemde data zijn onder voorbehoud.","Unfair Amsterdam","Unfair Amsterdam is an energising art fair that shines a light on some of the Netherlands? most innovative designers and artists, focusing on young and newly graduated talents.","<h2>Unfair: the art of Amsterdam&rsquo:s new generation</h2> <strong>Unfair Amsterdam</strong> is a perfect place to get inspired, meet the artists and go home with a bargain. The artists&rsquo: even keep all their profit &ndash: how&rsquo:s that for fair? Participating artists are invited by a curatorial panel featuring experts from Amsterdam's <strong>independent gallery scene</strong> as well as other <strong>modern art</strong> experts from the Netherlands.<br /> <br /> The full line-up and further details can be found on the <a target=&quot:_blank&quot: href=&quot:http://www.unfairamsterdam.nl/&quot:>Unfair Amsterdam website</a>.","We 29 March 2017 including Su 2 April 2017 We -Su: Open, Explanation: Date to be confirmed.","","2.3.1","Zuiveringshal Westergasterrein","AMSTERDAM","Pazzanistraat 37","1014 DB","52,3861890","4,8718430","http://www.unfairamsterdam.nl/","https://media.iamsterdam.com/ndtrc/Images/20130308/f49d8880-d1dc-4425-a11e-845d9d3ad8c2.jpg","https://media.iamsterdam.com/ndtrc/Images/20130308/f49d8880-d1dc-4425-a11e-845d9d3ad8c2.jpg","29-03-2017","02-04-2017","",NA,"2016-04-05 12:19:11",NA
"5","ba8de7d6-26ad-4765-af18-25d14ed81303","PAN Amsterdam","Van 20 tot en met 27 november 2016 keert PAN Amsterdam terug naar de RAI Amsterdam. Deze jaarlijkse kunstbeurs heeft, sinds de eerste editie in 1987, een sterke reputatie opgebouwd. PAN staat bekend om de vriendelijke sfeer, de kans om de beste kunsthandelaren te ontmoeten en om kunst te kunnen bekijken en vergelijken zonder directe verplichtingen.","<h2>Kwaliteit en authenticiteit</h2> In maar een paar uur struinen op PAN Amsterdam kun je dealers van zo'n honderdvijfentwintig galerie&euml:n ontmoeten en duizenden verschillende objecten bekijken. Maar bovenal kun je zonder enige twijfel kunst kopen, aangezien meer dan tachtig onafhankelijke experts de stukken voor aanvang van de beurs testen op authenticiteit en   kwaliteit.","Zo 20 november 2016 t/m zo 27 november 2016 ma: 11:00 - 19:00 uur, di: 11:00 - 21:00 uur, wo: 11:00 - 19:00 uur, do: 11:00 - 18:00 uur, vr, za: 11:00 - 19:00 uur, zo: 11:00 - 18:00 uur.","PAN Amsterdam","Enjoy art of lasting beauty and affordable quality at PAN Amsterdam, taking place at Amsterdam RAI each November. Since it was established in 1987, this annual art fair has garnered a reputation for its friendly atmosphere and opportunities to meet the best art dealers, as well as looking at and comparing the works of art that appeal to you and learning about them without any obligation.","<h2>Quality and authenticity in Amsterdam</h2> In just a couple of hours at PAN Amsterdam you can meet the dealers of some 125 galleries, see thousands of objects (paintings, antiques, modern and contemporary art, jewellery, photographs and furniture). And, of course, you can buy art with confidence, as more than 80 independent vetting experts will verify authenticity and quality before the fair opens. <br /> <br /> For more information visit the <a href=&quot:http://www.pan.nl/&quot: target=&quot:_blank&quot:>PAN Amsterdam website</a>.","Su 20 November 2016 including Su 27 November 2016 Mo : 11:00 - 19:00 hour, Tu : 11:00 - 21:00 hour, We : 11:00 - 19:00 hour, Th : 11:00 - 18:00 hour, Fr , Sa : 11:00 - 19:00 hour, Su: 11:00 - 18:00 hour.","","2.3.1","RAI Amsterdam","AMSTERDAM","Europaboulevard 22","1078 RV","52,3390470","4,8911530","http://www.pan.nl/","https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/6069a4de-4faa-4a39-b652-4375883f08e5.jpg,https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/1a46262e-12bd-4ebd-a8a4-adf5af456b79.jpg,https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/c738d08c-c33f-404a-aeb0-2b2c165fd539.jpg,https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/29cf2fdb-bf32-41bb-b4db-05e540f2fa6c.jpg,https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/2419842a-3565-46f8-89f1-18ed1dce4c81.jpg,https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/e6e78c6f-2f9b-4e51-be1b-02e9c2e4fc49.jpg,https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/518433b1-25e7-4bdf-828a-138db4e041c9.jpg","https://media.iamsterdam.com/ndtrc/Images/ba/ba8de7d6-26ad-4765-af18-25d14ed81303/6069a4de-4faa-4a39-b652-4375883f08e5.jpg","20-11-2016","27-11-2016","",NA,"2016-03-03 14:51:36",NA
"6","8026f386-c29c-41aa-8648-b84763da29c9","This Art Fair","Naast shoppen en genieten van de decembersfeer kun je naar This Art Fair in Amsterdam. Maak kennis met de werken van gevestigde kunstenaars en aanstormende talenten.","<h2>Kunst in hartje Amsterdam</h2> Op de kunstbeurs vind je visuele kunst, design, dans, video, lichtinstallaties en muziek. Een reeks interessante evenementen en tentoonstellingen worden ook bij de elfde editie in 2015 verspreid over de hallen van de historische Beurs Van Berlage. This Art Fair is een verkoopbeurs voor zowel ervaren als beginnende kunstkopers, met als doel om kunst&nbsp:dichtbij de koper te brengen. Extraatje bij deze beurs is de mogelijkheid  om met de kunstenaars zelf te praten. Zo kun je tijdens je zoektocht de verhalen achter de bijzondere werken ontdekken.","Wo 28 december 2016 11:00 - 19:00 uur, do 29 december 2016 11:00 - 19:00 uur, vr 30 december 2016 11:00 - 19:00 uur, za 31 december 2016 11:00 - 19:00 uur, Toelichting: Data onder voorbehoud.","This Art Fair","Between shopping the sales and spreading holiday cheer, don?t miss This Art Fair (formerly Art in Redlight). The eclectic art fair takes place in December/January and features visual art, design, dance, video, light installations and music.","<h2>Art in central Amsterdam</h2> A range of exciting events and exhibitions are typically spread throughout all the halls of the historic Beurs van Berlage. Head to the great hall for an art fair featuring established and up-and-coming artists: there are great choices for first time buyers, allowing a bit of dabbling before committing to serious collector&rsquo:s status. You can also enjoy refreshments, debates and workshops.<br /> <br /> For more information and tickets visit the <a href=&quot:http://thisartfair.com/&quot: target=&quot:_blank&quot:>This Art Fair website</a>.","We 28 December 2016 11:00 - 19:00 hour, Th 29 December 2016 11:00 - 19:00 hour, Fr 30 December 2016 11:00 - 19:00 hour, Sa 31 December 2016 11:00 - 19:00 hour.","","2.3.1","Beurs van Berlage ","AMSTERDAM","Damrak 243","1012 ZJ","52,3752180","4,8959600","http://thisartfair.com/","https://media.iamsterdam.com/ndtrc/Images/80/8026f386-c29c-41aa-8648-b84763da29c9/1b73cbee-ae3b-4f53-984a-084f03db9d6d.jpg","https://media.iamsterdam.com/ndtrc/Images/80/8026f386-c29c-41aa-8648-b84763da29c9/1b73cbee-ae3b-4f53-984a-084f03db9d6d.jpg","","","28-12-2016,29-12-2016,30-12-2016,31-12-2016",NA,"2016-03-03 14:58:28",NA
"7","d87f037e-4172-4d95-8c61-793e8f995805","Meesterlijk","Een combinatie van design, mode, eten, ambacht en hedendaagse kunst komt samen tijdens Meesterlijk, een smaakvol en inspirerend event voor liefhebbers van mode, design en culinaire hoogstandjes. Dit jaar is van 25 tot en met 27 november 2016 de achtste editie van Meesterlijk op het terrein van de Westergasfabriek.","<h2>Design &amp: ambacht in Amsterdam</h2> Meesterlijk is een jaarlijks evenement waar vormgevers, producenten, modeontwerpers, fooddesigners en vaklieden hun passie voor design en ambacht tonen aan een groot publiek. Bekijk een van de tentoonstellingen, koop unieke producten rechtstreeks van de ontwerper zelf en vergaap je aan bijzondere sieraden, lederwaren, hoeden en kleine meubelen. <br /> <br /> Bezoek de website van Meesterlijk voor meer informatie en online kaartverkoop.","Vr 25 november 2016 t/m zo 27 november 2016 vr-zo: 12:00 - 18:00 uur.","Meesterlijk","The name says it all at Meesterlijk (literally: masterly), an independent design fair celebrating craftsmanship and artisans in Amsterdam. What started as a slideshow at Dutch Design Week is now a darling of international designers each November at the Westergasfabriek. ","<h2>Design &amp: craft in Amsterdam</h2> A range of different disciplines &ndash: from fashion and food designers to traditional artisans &ndash: put a contemporary face on design across three of the Westergasfabriek venues. Check out one of the many exhibitions, look for unique products for sale directly from designers and stock up on one-of-a-kind items of furniture, clothing and jewellery, ceramics, artwork and more.<br /> <br /> For more information and to purchase tickets online, visit the <a href=&quot:http://www.meesterlijk.nu&quot: target=&quot:_blank&quot:>Meesterlijk website</a>.","Fr 25 November 2016 including Su 27 November 2016 Fr -Su: 12:00 - 18:00 hour.","","2.3.1","","AMSTERDAM","Polonceau-kade 27","1014 DA","52,3857890","4,8713980","http://www.meesterlijk.nu","https://media.iamsterdam.com/ndtrc/Images/20131018/a1157353-1c73-4dbc-b8de-b1d8f0cb10ad.jpg,https://media.iamsterdam.com/ndtrc/Images/20131018/43e50e64-f41e-45a6-a8d1-2feac8ff5a75.jpg,https://media.iamsterdam.com/ndtrc/Images/20131018/a91b8c2e-6032-4f47-90d4-af130a787999.jpg,https://media.iamsterdam.com/ndtrc/Images/20131018/6a6f9700-4d1d-4582-b355-23067f60a22d.jpg","https://media.iamsterdam.com/ndtrc/Images/20131018/a1157353-1c73-4dbc-b8de-b1d8f0cb10ad.jpg","25-11-2016","27-11-2016","",NA,"2016-03-03 14:54:19",NA
"8","d714a951-9953-40cc-a874-f8bda5cccbfa","REALISME","In de Passenger Terminal Amsterdam vindt de gespecialiseerde kunstbeurs REALISME plaats. Gerenommeerde galerieën uit binnen- en buitenland tonen en verkopen er werk van kunstenaars die zich hebben toegelegd op de figuratie en het realisme in schilder- en beeldhouwkunst. ","<h2>Figuratieve kunstbeurs</h2> REALISME claimt de enige kunstbeurs ter wereld te zijn waar uitsluitend hedendaagse figuratieve kunst te zien is. Er is zowel werk te vinden van kunstenaars die al grote bekendheid genieten, als van jong talent dat de figuratieve kunst nieuwe impulsen geeft.<br /> <br /> Bekijk de website van REALISME voor kaarten en meer informatie.","Do 19 januari 2017 11:00 - 19:00 uur, vr 20 januari 2017 11:00 - 20:00 uur, za 21 januari 2017 11:00 - 19:00 uur, zo 22 januari 2017 11:00 - 19:00 uur, Toelichting: Data onder voorbehoud.","Realisme","Held in January at the Passenger Terminal Amsterdam, the annual Realisme art fair welcomes a huge range of renowned galleries from the Netherlands and abroad as they present (and sell) works by Dutch and international artists working in various mediums within the figurative and realistic genres. ","<h2>Figurative art fair in Amsterdam</h2> <p>With lofty claims to being the only art fair dedicated solely to figurative art, <strong>Realisme</strong> showcases established artists with a respectable oeuvre as well as young up-and-comers breathing new life into the genre. </p> <p>Check the <a target=&quot:_blank&quot: href=&quot:http://www.realismeamsterdam.com/&quot:>Realisme website</a> for tickets and more information.</p>","Th 19 January 2017 11:00 - 19:00 hour, Fr 20 January 2017 11:00 - 20:00 hour, Sa 21 January 2017 11:00 - 19:00 hour, Su 22 January 2017 11:00 - 19:00 hour, Explanation: Date to be confirmed.","","2.3.1","","AMSTERDAM","Piet Heinkade 27","1019 BR","52,3776950","4,9153450","http://www.realismeamsterdam.com/","https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/446da1c2-c265-4df1-8fb0-f5046b4cf347.jpg,https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/1f40ed37-3c96-48b3-a290-8a5b965159f8.jpg,https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/801c34d9-3ab5-41fd-8b21-d5cdb2778361.jpg","https://media.iamsterdam.com/ndtrc/Images/d7/d714a951-9953-40cc-a874-f8bda5cccbfa/446da1c2-c265-4df1-8fb0-f5046b4cf347.jpg","","","19-01-2017,20-01-2017,21-01-2017,22-01-2017",NA,"2016-04-05 12:19:10",NA
"9","0247f63c-a979-45a9-99fe-399248423f13","Negenmaandenbeurs","Ieder jaar wordt de RAI Amsterdam gedurende vijf dagen getransformeerd tot een paradijs voor (aanstaande) ouders. De Negenmaandenbeurs vindt in 2017 plaats van 22 tot en met 26 februari.","<h2>Beurs voor het ouderschap</h2> Al vele jaren is de Negenmaandenbeurs d&eacute: beurs voor ouders, waar ze zich kunnen laten inspireren op het gebied van producten voor kinderen in alle leeftijden. Diverse bedrijven laten hun nieuwste producten zien en bezoekers kunnen uitgebreid shoppen, modeshows bekijken, workshops en lezingen volgen en nog veel meer.<br /> <br /> <h2>Tickets en informatie</h2> Bezoek de website van de Negenmaandenbeurs voor meer informatie en tickets (&euro:16,50,- online tijdens het event en &euro:19,50 aan de deur). Een ticket voor de Negenmaandenbeurs geeft ook toegang tot de Huishoudbeurs (18 tot en met 26 februari 2017).","Wo 22 februari 2017 t/m zo 26 februari 2017 wo-zo: geopend.","Nine Months Fair","For five days every year, the cavernous Amsterdam RAI is transformed into a paradise for (prospective) parents. The Nine Months Fair returns from 22 to 26 February 2017. ","<h2>Baby and parenting event</h2> For years, the Nine Months Fair (Negenmaandenbeurs) has been welcoming parents from all walks of life as they look for baby-related inspiration, from nursery decorating ideas to baby clothes and more. A one-stop shop for everything parent and baby, the fair welcomes loads of companies displaying their latest products while visitors can also attend fashion shows, workshops, presentations and lectures. This annual event traditionally takes place alongside the Homemakers&rsquo: Fair.","We 22 February 2017 including Su 26 February 2017 We -Su: Open.","","2.3.1","RAI Amsterdam","AMSTERDAM","Europaboulevard 22","1078 RV","52,3390470","4,8911530","http://www.negenmaandenbeurs.nl","https://media.iamsterdam.com/ndtrc/Images/02/0247f63c-a979-45a9-99fe-399248423f13/ec8df6a1-fb5e-43ff-96a2-364c19ffa0ce.jpg","https://media.iamsterdam.com/ndtrc/Images/02/0247f63c-a979-45a9-99fe-399248423f13/ec8df6a1-fb5e-43ff-96a2-364c19ffa0ce.jpg","22-02-2017","26-02-2017","",NA,"2016-04-05 12:19:11",NA
"10","6d50e4c9-1b27-49db-99b0-ddf390e36fa6","Strawberry Earth Fair","Jaarlijks presenteert Strawberry Earth in het najaar het nieuwste op het gebied van duurzame mode, design, film en eten tijdens deze fair in Amsterdam Roest.","<h2>Markt vol mode en design</h2> Het programma richt zich op innovatie in de mode- en designindustrie, met een mix van beginnende en gevestigde ontwerpers en merken die duurzaamheid combineren met schoonheid. Shop duurzame merken, geniet van live optredens of doe mee aan diverse workshops.<br /> <br /> Bekijk de website van <a re_target=&quot:_blank&quot: href=&quot:http://strawberryearth.com/events/fair2015&quot: target=&quot:_blank&quot:>Strawberry Earth Fair</a> voor meer informatie.","Vr 7 oktober 2016, za 8 oktober 2016, Toelichting: Datum onder voorbehoud.","Strawberry Earth Fair","Every autumn, Strawberry Earth presents all the latest in the fields of sustainable fashion, design, film and food at this fair in Amsterdam Roest.","<h2>Fashion and design fair</h2> This festival is inspired and curated with nature in mind, so all shops, exhibitions and workshops are handpicked. Expect to find products made with care for people and planet, groundbreaking materials, food from the fields and a whole heap of new knowledge. Both days see the market transform into a fun eco-minded party, particularly on the Saturday night! <br /> <br /> Head to the Strawberry Earth website for more information.","Fr 7 October 2016, Sa 8 October 2016, Explanation: Date to be confirmed.","","2.3.1","Amsterdam Roest","AMSTERDAM","Czaar Peterstraat","1018 PL","52,3732070","4,9293970","http://strawberryearth.com/events/fair2015","https://media.iamsterdam.com/ndtrc/Images/6d/6d50e4c9-1b27-49db-99b0-ddf390e36fa6/7b0aa22a-1197-4f5a-bc5a-801f038e6676.jpg","https://media.iamsterdam.com/ndtrc/Images/6d/6d50e4c9-1b27-49db-99b0-ddf390e36fa6/7b0aa22a-1197-4f5a-bc5a-801f038e6676.jpg","","","07-10-2016,08-10-2016",NA,"2016-02-12 13:30:48",NA
