"","time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","coords"
"1","2016-07-28T10:17:17Z",NA,NA,"105.357.054","3.000.000","82.077.187",2.478207,0,"gps","NA:NA"
"2","2016-07-28T10:19:46Z",NA,NA,"80.579.616","6.000.000","111.348.122",0.771815,0,"gps","NA:NA"
"3","2016-07-28T10:33:53Z",NA,NA,"99.956.006","32.000.000","0",0.09374,4,"gps","NA:NA"
"4","2016-07-28T11:06:39Z",NA,NA,"83.132.862","12.000.000","0",0,7,"gps","NA:NA"
"5","2016-07-28T11:06:49Z",NA,NA,"79.863.469","24.000.000","119.781.586",0.925954,7,"gps","NA:NA"
"6","2016-07-28T11:07:09Z",NA,NA,"51.693.284","6.000.000","0",0,5,"gps","NA:NA"
"7","2016-07-28T11:07:20Z",NA,NA,"49.123.517","24.000.000","242.787.476",0.805337,12,"gps","NA:NA"
"8","2016-07-28T11:07:31Z",NA,NA,"52.748.094","24.000.000","86.686.813",0.318644,6,"gps","NA:NA"
"9","2016-07-28T11:07:42Z",NA,NA,"54.585.867","16.000.000","345.361.389",0.824293,6,"gps","NA:NA"
"10","2016-07-28T11:07:53Z",NA,NA,"46.457.981","24.000.000","0",0,6,"gps","NA:NA"
"11","2016-07-28T11:08:15Z",NA,NA,"55.644.137","12.000.000","0",0,4,"gps","NA:NA"
"12","2016-07-28T11:08:36Z",NA,NA,"82.094.118","16.000.000","0",0,5,"gps","NA:NA"
"13","2016-07-28T11:12:53Z",NA,NA,"50.025.905","3.000.000","191.060.257",0.655961,0,"gps","NA:NA"
"14","2016-07-28T11:13:26Z",NA,NA,"34.554.325","24.000.000","0",0,5,"gps","NA:NA"
"15","2016-07-28T11:16:09Z",NA,NA,"39.792.909","8.000.000","0",0,3,"gps","NA:NA"
"16","2016-07-28T11:17:05Z",NA,NA,"75.561.736","12.000.000","0",0,6,"gps","NA:NA"
"17","2016-07-28T11:17:16Z",NA,NA,"64.254.368","12.000.000","0",0,7,"gps","NA:NA"
"18","2016-07-28T11:17:26Z",NA,NA,"52.086.635","6.000.000","0",1.264556,7,"gps","NA:NA"
"19","2016-07-28T11:17:44Z",NA,NA,"50.987.458","8.000.000","323.006.470",1.208723,7,"gps","NA:NA"
"20","2016-07-28T11:18:14Z",NA,NA,"94.670.168","8.000.000","89.228.775",1.093751,0,"gps","NA:NA"
"21","2016-07-28T11:18:42Z",NA,NA,"69.571.633","16.000.000","226.507.278",0.208961,0,"gps","NA:NA"
"22","2016-07-28T11:18:53Z",NA,NA,"84.180.440","32.000.000","37.169.960",1.448315,8,"gps","NA:NA"
"23","2016-07-28T11:19:04Z",NA,NA,"69.312.887","6.000.000","0",0.813154,9,"gps","NA:NA"
"24","2016-07-28T11:19:18Z",NA,NA,"65.552.296","6.000.000","46.766.739",0.778695,12,"gps","NA:NA"
"25","2016-07-28T11:19:32Z",NA,NA,"57.821.012","16.000.000","120.426.331",1.317895,12,"gps","NA:NA"
"26","2016-07-28T11:19:43Z",NA,NA,"58.112.334","24.000.000","176.328.705",0.05736,12,"gps","NA:NA"
"27","2016-07-28T11:19:54Z",NA,NA,"53.031.053","12.000.000","46.746.883",0.541189,6,"gps","NA:NA"
"28","2016-07-28T11:20:05Z",NA,NA,"63.156.872","32.000.000","58.265.831",1.326611,12,"gps","NA:NA"
